Wed Aug 16 14:33:13 2017    profile.cprof

         133655314 function calls (133649116 primitive calls) in 433.078 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.005    0.000 gettext.py:583(gettext)
       20    0.000    0.000    0.004    0.000 gettext.py:545(dgettext)
        1    0.001    0.001    0.004    0.004 newround.py:3(<module>)
       20    0.000    0.000    0.004    0.000 gettext.py:479(translation)
        1    0.000    0.000    0.004    0.004 _internal.py:6(<module>)
        1    0.002    0.002    0.004    0.004 __init__.py:41(<module>)
 1713/634    0.004    0.000    0.004    0.000 sre_parse.py:151(getwidth)
       20    0.001    0.000    0.004    0.000 gettext.py:424(find)
     5060    0.003    0.000    0.004    0.000 sre_parse.py:141(__getitem__)
       92    0.004    0.000    0.004    0.000 {open}
        1    0.000    0.000    0.004    0.004 cli.py:10(<module>)
        2    0.001    0.001    0.004    0.002 __init__.py:45(<module>)
        1    0.000    0.000    0.004    0.004 utils.py:10(<module>)
        1    0.000    0.000    0.004    0.004 decimal.py:116(<module>)
        3    0.000    0.000    0.004    0.001 commands.py:175(create_parser)
        1    0.001    0.001    0.003    0.003 dag.py:2(<module>)
        2    0.001    0.000    0.003    0.002 core.py:1(<module>)
        1    0.001    0.001    0.003    0.003 cElementTree.py:3(<module>)
        1    0.000    0.000    0.003    0.003 util.py:247(find_library)
        1    0.000    0.000    0.003    0.003 util.py:209(_findSoname_ldconfig)
      459    0.000    0.000    0.003    0.000 pgen.py:313(expect)
        1    0.003    0.003    0.003    0.003 socket.py:45(<module>)
        1    0.000    0.000    0.003    0.003 urllib2.py:76(<module>)
      687    0.001    0.000    0.003    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.003    0.003 link_prediction.py:3(<module>)
        1    0.001    0.001    0.002    0.002 datastructures.py:10(<module>)
 2143/799    0.002    0.000    0.002    0.000 pgen.py:180(addclosure)
       28    0.000    0.000    0.002    0.000 decorators.py:88(open_file)
     3416    0.001    0.000    0.002    0.000 sre_parse.py:206(match)
        1    0.000    0.000    0.002    0.002 lexer.py:16(<module>)
        1    0.001    0.001    0.002    0.002 core.py:21(<module>)
        1    0.001    0.001    0.002    0.002 npyio.py:1(<module>)
        1    0.000    0.000    0.002    0.002 defaults.py:10(<module>)
      273    0.001    0.000    0.002    0.000 function_base.py:4361(add_newdoc)
        1    0.002    0.002    0.002    0.002 {method 'read' of 'file' objects}
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
        1    0.000    0.000    0.002    0.002 views.py:1(<module>)
        2    0.001    0.000    0.002    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.002    0.002 decorators.py:15(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:88(<module>)
        3    0.000    0.000    0.002    0.001 argparse.py:1054(add_parser)
        1    0.000    0.000    0.002    0.002 communicability_alg.py:3(<module>)
        1    0.000    0.000    0.002    0.002 types.py:1(<module>)
     4342    0.002    0.000    0.002    0.000 {getattr}
        1    0.000    0.000    0.002    0.002 __init__.py:59(<module>)
      118    0.000    0.000    0.002    0.000 decorator.py:55(getfullargspec)
        2    0.000    0.000    0.002    0.001 decorators.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:10(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:99(<module>)
      235    0.001    0.000    0.002    0.000 decorator.py:147(update)
       26    0.000    0.000    0.002    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
        1    0.000    0.000    0.002    0.002 fractions.py:4(<module>)
        1    0.000    0.000    0.002    0.002 filters.py:10(<module>)
       18    0.000    0.000    0.002    0.000 argparse.py:1263(add_argument)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
        6    0.000    0.000    0.002    0.000 app.py:55(wrapper_func)
        3    0.001    0.000    0.002    0.001 utils.py:4(<module>)
        1    0.000    0.000    0.002    0.002 decorator.py:33(<module>)
        4    0.000    0.000    0.002    0.000 __init__.py:37(add_help)
        5    0.000    0.000    0.002    0.000 app.py:960(add_url_rule)
        1    0.001    0.001    0.002    0.002 ElementTree.py:59(<module>)
        1    0.000    0.000    0.001    0.001 polynomial.py:4(<module>)
       90    0.001    0.000    0.001    0.000 graph_builder.py:141(part_level)
      471    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x906bc0}
      118    0.000    0.000    0.001    0.000 inspect.py:804(getargspec)
        1    0.000    0.000    0.001    0.001 helpers.py:10(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:12(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:86(<module>)
        1    0.001    0.001    0.001    0.001 _datasource.py:35(<module>)
        1    0.000    0.000    0.001    0.001 numeric.py:1(<module>)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 httplib.py:67(<module>)
        1    0.000    0.000    0.001    0.001 urls.py:17(<module>)
        1    0.000    0.000    0.001    0.001 connectivity.py:4(<module>)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:387(<module>)
        1    0.000    0.000    0.001    0.001 json.py:10(<module>)
        5    0.000    0.000    0.001    0.000 routing.py:1190(add)
     1313    0.001    0.000    0.001    0.000 pgen.py:342(addarc)
        1    0.000    0.000    0.001    0.001 __init__.py:20(<module>)
        5    0.000    0.000    0.001    0.000 routing.py:667(bind)
       24    0.000    0.000    0.001    0.000 argparse.py:1182(__init__)
        5    0.000    0.000    0.001    0.000 routing.py:692(compile)
      257    0.001    0.000    0.001    0.000 posixpath.py:61(join)
       65    0.000    0.000    0.001    0.000 nodes.py:64(__new__)
      588    0.001    0.000    0.001    0.000 pgen.py:349(__init__)
      243    0.000    0.000    0.001    0.000 genericpath.py:23(exists)
        1    0.000    0.000    0.001    0.001 strongly_connected.py:3(<module>)
      517    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.000    0.000    0.001    0.001 sparse6.py:13(<module>)
        1    0.000    0.000    0.001    0.001 modularitymatrix.py:2(<module>)
        5    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.001    0.001 xmlreader.py:2(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 biconnected.py:4(<module>)
        4    0.000    0.000    0.001    0.000 app.py:1078(decorator)
     2492    0.001    0.000    0.001    0.000 sre_parse.py:137(__len__)
      117    0.001    0.000    0.001    0.000 inspect.py:845(formatargspec)
        2    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
     1705    0.001    0.000    0.001    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.001    0.001 _compat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 graphml.py:36(<module>)
       60    0.001    0.000    0.001    0.000 gettext.py:132(_expand_lang)
        1    0.000    0.000    0.001    0.001 cycles.py:5(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:62(<module>)
        1    0.001    0.001    0.001    0.001 itsdangerous.py:11(<module>)
    43/26    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       21    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.001    0.001 polynomial.py:56(<module>)
        1    0.001    0.001    0.001    0.001 datastructures.py:881(Headers)
      120    0.000    0.000    0.001    0.000 re.py:138(match)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 app.py:339(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
  179/125    0.000    0.000    0.001    0.000 {issubclass}
      118    0.001    0.000    0.001    0.000 inspect.py:744(getargs)
      102    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.001    0.001    0.001    0.001 xmlreader.py:91(IncrementalParser)
        1    0.000    0.000    0.001    0.001 testing.py:24(make_test_environ_builder)
        1    0.000    0.000    0.001    0.001 laplacianmatrix.py:2(<module>)
        1    0.000    0.000    0.001    0.001 test.py:284(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6369(__init__)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 random.py:100(seed)
       26    0.000    0.000    0.001    0.000 core.py:6374(getdoc)
        1    0.000    0.000    0.001    0.001 weakly_connected.py:3(<module>)
        2    0.000    0.000    0.001    0.000 entities.py:1(<module>)
       19    0.000    0.000    0.001    0.000 argparse.py:2326(_get_formatter)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 connected.py:4(<module>)
        1    0.000    0.000    0.001    0.001 formparser.py:11(<module>)
      244    0.001    0.000    0.001    0.000 {posix.stat}
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 compiler.py:10(<module>)
        1    0.000    0.000    0.001    0.001 nx_pydot.py:15(<module>)
        1    0.000    0.000    0.001    0.001 attracting.py:4(<module>)
        1    0.001    0.001    0.001    0.001 dbapi2.py:24(<module>)
      2/1    0.000    0.000    0.001    0.001 argparse.py:1707(parse_known_args)
       19    0.000    0.000    0.001    0.000 argparse.py:154(__init__)
        1    0.000    0.000    0.001    0.001 edgelist.py:24(<module>)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
      414    0.000    0.000    0.001    0.000 sre_parse.py:268(_escape)
        1    0.000    0.000    0.001    0.001 __init__.py:220(_parse_known_args)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
      2/1    0.000    0.000    0.001    0.001 argparse.py:1742(_parse_known_args)
        1    0.000    0.000    0.001    0.001 urllib2.py:852(AbstractBasicAuthHandler)
     1166    0.001    0.000    0.001    0.000 pgen.py:339(__init__)
       16    0.000    0.000    0.001    0.000 argparse.py:1310(add_argument_group)
        1    0.000    0.000    0.001    0.001 commands.py:2(<module>)
        1    0.000    0.000    0.001    0.001 globals.py:11(<module>)
        1    0.000    0.000    0.001    0.001 re.py:143(search)
        3    0.001    0.000    0.001    0.000 _compat.py:12(<module>)
     1075    0.001    0.000    0.001    0.000 pgen.py:363(unifystate)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      3/2    0.000    0.000    0.001    0.000 argparse.py:1887(consume_positionals)
        1    0.000    0.000    0.001    0.001 adjlist.py:24(<module>)
       16    0.000    0.000    0.001    0.000 argparse.py:1486(__init__)
        1    0.000    0.000    0.001    0.001 gexf.py:17(<module>)
        1    0.000    0.000    0.001    0.001 mimetools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 graph6.py:13(<module>)
      485    0.000    0.000    0.001    0.000 urllib.py:1217(<genexpr>)
        1    0.000    0.000    0.001    0.001 runtime.py:10(<module>)
      617    0.000    0.000    0.001    0.000 pgen.py:357(addarc)
        1    0.000    0.000    0.001    0.001 newbytes.py:6(<module>)
        1    0.000    0.000    0.001    0.001 katz.py:4(<module>)
